# QGIS Generated Color Map Export File
INTERPOLATION:INTERPOLATED
-999,166,97,26,0,-999
0,188,134,64,0,0
19.0391,189,135,65,255,19.0390528
222.646,193,143,72,255,222.646448
426.256,198,150,80,255,426.25592
629.865,202,158,88,255,629.865392
833.475,207,166,96,255,833.474864
1037.07,211,173,104,255,1037.073952
1240.68,216,181,111,255,1240.683424
1444.29,220,189,119,255,1444.292896
1647.9,224,195,127,255,1647.902368
1851.51,226,199,137,255,1851.51184
2055.12,227,203,146,255,2055.121312
2258.72,229,207,156,255,2258.7204
2462.33,231,211,165,255,2462.329872
2665.94,232,215,175,255,2665.939344
2869.55,234,219,184,255,2869.548816
3073.16,236,223,193,255,3073.158288
3276.77,238,227,203,255,3276.76776
3480.38,239,231,212,255,3480.377232
3683.98,241,235,222,255,3683.97632
3887.59,243,239,231,255,3887.585792
4091.2,245,243,241,255,4091.195264
4294.8,241,244,243,255,4294.804736
4498.41,232,241,239,255,4498.414208
4702.02,222,238,235,255,4702.02368
4905.62,213,234,231,255,4905.622768
5109.23,204,231,227,255,5109.23224
5312.84,195,228,223,255,5312.841712
5516.45,186,225,219,255,5516.451184
5720.06,176,222,215,255,5720.060656
5923.67,167,219,211,255,5923.670128
6127.28,158,216,207,255,6127.2796
6330.88,149,212,202,255,6330.878688
6534.49,140,209,198,255,6534.48816
6738.1,130,206,194,255,6738.097632
6941.71,121,201,189,255,6941.707104
7145.32,111,195,182,255,7145.316576
7348.93,101,190,176,255,7348.926048
7552.53,91,184,170,255,7552.525136
7756.13,81,178,163,255,7756.134608
7959.74,71,173,157,255,7959.74408
8163.35,61,167,151,255,8163.353552
8366.96,51,161,144,255,8366.963024
8570.57,41,156,138,255,8570.572496
8774.17,31,150,132,255,8774.171584
8977.78,21,144,126,255,8977.781056
9181.39,11,139,119,255,9181.390528
9385,1,133,113,255,9385
